ID;Application;Version;ParamID;id Machine;Date de lancement;Scenario;Num dossier;Num Iteration;Etape;Temps;TopTemps;EndTime;AGarder?
061220241535031Virement 1 mouvement;ISACOMPTA-CLIENT;25.01.069;N/A;VM IQS CO;06/12/2024 15:32:50;Consultation Grand Livre et Virements;30409;1;Virement 1 mouvement;1174;1733495702610;1733495703784;1
061220241535261Virement 100 Mouvements;ISACOMPTA-CLIENT;25.01.069;N/A;VM IQS CO;06/12/2024 15:32:50;Consultation Grand Livre et Virements;30409;1;Virement 100 Mouvements;4254;1733495722563;1733495726817;1
061220241536551Virement 900 Mouvements;ISACOMPTA-CLIENT;25.01.069;N/A;VM IQS CO;06/12/2024 15:32:50;Consultation Grand Livre et Virements;30409;1;Virement 900 Mouvements;29618;1733495785771;1733495815389;1
061220241539031Ouverture compte 2011;ISACOMPTA-CLIENT;25.01.069;N/A;VM IQS CO;06/12/2024 15:32:50;Consultation Grand Livre et Virements;30409;1;Ouverture compte 2011;2491;1733495941344;1733495943835;1
061220241539111Ouverture compte 511;ISACOMPTA-CLIENT;25.01.069;N/A;VM IQS CO;06/12/2024 15:32:50;Consultation Grand Livre et Virements;30409;1;Ouverture compte 511;3169;1733495947943;1733495951112;1
061220241542002Virement 1 mouvement;ISACOMPTA-CLIENT;25.01.069;N/A;VM IQS CO;06/12/2024 15:32:50;Consultation Grand Livre et Virements;30409;2;Virement 1 mouvement;141;1733496120447;1733496120588;1
061220241542212Virement 100 Mouvements;ISACOMPTA-CLIENT;25.01.069;N/A;VM IQS CO;06/12/2024 15:32:50;Consultation Grand Livre et Virements;30409;2;Virement 100 Mouvements;2214;1733496138917;1733496141131;1
061220241543392Virement 900 Mouvements;ISACOMPTA-CLIENT;25.01.069;N/A;VM IQS CO;06/12/2024 15:32:50;Consultation Grand Livre et Virements;30409;2;Virement 900 Mouvements;20331;1733496198699;1733496219030;1
061220241545482Ouverture compte 2011;ISACOMPTA-CLIENT;25.01.069;N/A;VM IQS CO;06/12/2024 15:32:50;Consultation Grand Livre et Virements;30409;2;Ouverture compte 2011;2828;1733496345547;1733496348375;1
061220241545552Ouverture compte 511;ISACOMPTA-CLIENT;25.01.069;N/A;VM IQS CO;06/12/2024 15:32:50;Consultation Grand Livre et Virements;30409;2;Ouverture compte 511;3160;1733496352503;1733496355663;1
061220241548503Virement 1 mouvement;ISACOMPTA-CLIENT;25.01.069;N/A;VM IQS CO;06/12/2024 15:32:50;Consultation Grand Livre et Virements;30409;3;Virement 1 mouvement;142;1733496530474;1733496530616;1
061220241549113Virement 100 Mouvements;ISACOMPTA-CLIENT;25.01.069;N/A;VM IQS CO;06/12/2024 15:32:50;Consultation Grand Livre et Virements;30409;3;Virement 100 Mouvements;2234;1733496548891;1733496551125;1
061220241550283Virement 900 Mouvements;ISACOMPTA-CLIENT;25.01.069;N/A;VM IQS CO;06/12/2024 15:32:50;Consultation Grand Livre et Virements;30409;3;Virement 900 Mouvements;20251;1733496608002;1733496628253;1
061220241552373Ouverture compte 2011;ISACOMPTA-CLIENT;25.01.069;N/A;VM IQS CO;06/12/2024 15:32:50;Consultation Grand Livre et Virements;30409;3;Ouverture compte 2011;2833;1733496754374;1733496757207;1
061220241552443Ouverture compte 511;ISACOMPTA-CLIENT;25.01.069;N/A;VM IQS CO;06/12/2024 15:32:50;Consultation Grand Livre et Virements;30409;3;Ouverture compte 511;3167;1733496761308;1733496764475;1
061220241555304Virement 1 mouvement;ISACOMPTA-CLIENT;25.01.069;N/A;VM IQS CO;06/12/2024 15:32:50;Consultation Grand Livre et Virements;30409;4;Virement 1 mouvement;156;1733496930463;1733496930619;1
061220241555514Virement 100 Mouvements;ISACOMPTA-CLIENT;25.01.069;N/A;VM IQS CO;06/12/2024 15:32:50;Consultation Grand Livre et Virements;30409;4;Virement 100 Mouvements;2176;1733496949530;1733496951706;1
061220241557074Virement 900 Mouvements;ISACOMPTA-CLIENT;25.01.069;N/A;VM IQS CO;06/12/2024 15:32:50;Consultation Grand Livre et Virements;30409;4;Virement 900 Mouvements;20254;1733497007540;1733497027794;1
061220241559164Ouverture compte 2011;ISACOMPTA-CLIENT;25.01.069;N/A;VM IQS CO;06/12/2024 15:32:50;Consultation Grand Livre et Virements;30409;4;Ouverture compte 2011;2487;1733497153739;1733497156226;1
061220241559234Ouverture compte 511;ISACOMPTA-CLIENT;25.01.069;N/A;VM IQS CO;06/12/2024 15:32:50;Consultation Grand Livre et Virements;30409;4;Ouverture compte 511;3159;1733497160338;1733497163497;1
061220241602145Virement 1 mouvement;ISACOMPTA-CLIENT;25.01.069;N/A;VM IQS CO;06/12/2024 15:32:50;Consultation Grand Livre et Virements;30409;5;Virement 1 mouvement;141;1733497334752;1733497334893;1
061220241602355Virement 100 Mouvements;ISACOMPTA-CLIENT;25.01.069;N/A;VM IQS CO;06/12/2024 15:32:50;Consultation Grand Livre et Virements;30409;5;Virement 100 Mouvements;1833;1733497353328;1733497355161;1
061220241603525Virement 900 Mouvements;ISACOMPTA-CLIENT;25.01.069;N/A;VM IQS CO;06/12/2024 15:32:50;Consultation Grand Livre et Virements;30409;5;Virement 900 Mouvements;20577;1733497411676;1733497432253;1
061220241606005Ouverture compte 2011;ISACOMPTA-CLIENT;25.01.069;N/A;VM IQS CO;06/12/2024 15:32:50;Consultation Grand Livre et Virements;30409;5;Ouverture compte 2011;2825;1733497557673;1733497560498;1
061220241606075Ouverture compte 511;ISACOMPTA-CLIENT;25.01.069;N/A;VM IQS CO;06/12/2024 15:32:50;Consultation Grand Livre et Virements;30409;5;Ouverture compte 511;3166;1733497564687;1733497567853;1
