ID;Application;Version;ParamID;id Machine;Date de lancement;Scenario;Num dossier;Num Iteration;Etape;Temps;TopTemps;EndTime;AGarder?
090120251643191Virement 1 mouvement;ISACOMPTA-CLIENT;25.11.007;N/A;VM IQS CO;09/01/2025 16:41:30;Consultation Grand Livre et Virements;30409;1;Virement 1 mouvement;839;1736437398357;1736437399196;1
090120251643401Virement 100 Mouvements;ISACOMPTA-CLIENT;25.11.007;N/A;VM IQS CO;09/01/2025 16:41:30;Consultation Grand Livre et Virements;30409;1;Virement 100 Mouvements;4943;1736437415821;1736437420764;1
090120251645091Virement 900 Mouvements;ISACOMPTA-CLIENT;25.11.007;N/A;VM IQS CO;09/01/2025 16:41:30;Consultation Grand Livre et Virements;30409;1;Virement 900 Mouvements;33339;1736437475983;1736437509322;1
090120251647261Ouverture compte 2011;ISACOMPTA-CLIENT;25.11.007;N/A;VM IQS CO;09/01/2025 16:41:30;Consultation Grand Livre et Virements;30409;1;Ouverture compte 2011;2497;1736437643982;1736437646479;1
090120251647321Ouverture compte 511;ISACOMPTA-CLIENT;25.11.007;N/A;VM IQS CO;09/01/2025 16:41:30;Consultation Grand Livre et Virements;30409;1;Ouverture compte 511;2192;1736437650583;1736437652775;1
090120251650312Virement 1 mouvement;ISACOMPTA-CLIENT;25.11.007;N/A;VM IQS CO;09/01/2025 16:41:30;Consultation Grand Livre et Virements;30409;2;Virement 1 mouvement;142;1736437831826;1736437831968;1
090120251650502Virement 100 Mouvements;ISACOMPTA-CLIENT;25.11.007;N/A;VM IQS CO;09/01/2025 16:41:30;Consultation Grand Livre et Virements;30409;2;Virement 100 Mouvements;2185;1736437848291;1736437850476;1
090120251652052Virement 900 Mouvements;ISACOMPTA-CLIENT;25.11.007;N/A;VM IQS CO;09/01/2025 16:41:30;Consultation Grand Livre et Virements;30409;2;Virement 900 Mouvements;20934;1736437904495;1736437925429;1
090120251654212Ouverture compte 2011;ISACOMPTA-CLIENT;25.11.007;N/A;VM IQS CO;09/01/2025 16:41:30;Consultation Grand Livre et Virements;30409;2;Ouverture compte 2011;2148;1736438059426;1736438061574;1
090120251654272Ouverture compte 511;ISACOMPTA-CLIENT;25.11.007;N/A;VM IQS CO;09/01/2025 16:41:30;Consultation Grand Livre et Virements;30409;2;Ouverture compte 511;2204;1736438065675;1736438067879;1
