ID;Application;Version;ParamID;id Machine;Date de lancement;Scenario;Num dossier;Num Iteration;Etape;Temps;TopTemps;EndTime;AGarder?
231220240852531Virement 1 mouvement;ISACOMPTA-CLIENT;25.01.080;N/A;VM IQS CO;23/12/2024 08:48:10;Consultation Grand Livre et Virements;30409;1;Virement 1 mouvement;1154;1734940372066;1734940373220;1
231220240853171Virement 100 Mouvements;ISACOMPTA-CLIENT;25.01.080;N/A;VM IQS CO;23/12/2024 08:48:10;Consultation Grand Livre et Virements;30409;1;Virement 100 Mouvements;4921;1734940392196;1734940397117;1
231220240854501Virement 900 Mouvements;ISACOMPTA-CLIENT;25.01.080;N/A;VM IQS CO;23/12/2024 08:48:10;Consultation Grand Livre et Virements;30409;1;Virement 900 Mouvements;36192;1734940454536;1734940490728;1
231220240857071Ouverture compte 2011;ISACOMPTA-CLIENT;25.01.080;N/A;VM IQS CO;23/12/2024 08:48:10;Consultation Grand Livre et Virements;30409;1;Ouverture compte 2011;2839;1734940624453;1734940627292;1
231220240857141Ouverture compte 511;ISACOMPTA-CLIENT;25.01.080;N/A;VM IQS CO;23/12/2024 08:48:10;Consultation Grand Livre et Virements;30409;1;Ouverture compte 511;3166;1734940631376;1734940634542;1
231220240900072Virement 1 mouvement;ISACOMPTA-CLIENT;25.01.080;N/A;VM IQS CO;23/12/2024 08:48:10;Consultation Grand Livre et Virements;30409;2;Virement 1 mouvement;157;1734940807147;1734940807304;1
231220240900272Virement 100 Mouvements;ISACOMPTA-CLIENT;25.01.080;N/A;VM IQS CO;23/12/2024 08:48:10;Consultation Grand Livre et Virements;30409;2;Virement 100 Mouvements;1833;1734940825948;1734940827781;1
231220240901442Virement 900 Mouvements;ISACOMPTA-CLIENT;25.01.080;N/A;VM IQS CO;23/12/2024 08:48:10;Consultation Grand Livre et Virements;30409;2;Virement 900 Mouvements;20603;1734940883724;1734940904327;1
231220240903592Ouverture compte 2011;ISACOMPTA-CLIENT;25.01.080;N/A;VM IQS CO;23/12/2024 08:48:10;Consultation Grand Livre et Virements;30409;2;Ouverture compte 2011;2825;1734941037107;1734941039932;1
231220240904072Ouverture compte 511;ISACOMPTA-CLIENT;25.01.080;N/A;VM IQS CO;23/12/2024 08:48:10;Consultation Grand Livre et Virements;30409;2;Ouverture compte 511;3172;1734941044040;1734941047212;1
