ID;Application;Version;ParamID;id Machine;Date de lancement;Scenario;Num dossier;Num Iteration;Etape;Temps;TopTemps;EndTime;AGarder?
160120250837171Virement 1 mouvement;ISACOMPTA-CLIENT;25.11.012;N/A;VM IQS CO;16/01/2025 08:33:25;Consultation Grand Livre et Virements;30409;1;Virement 1 mouvement;1172;1737013036608;1737013037780;1
160120250837391Virement 100 Mouvements;ISACOMPTA-CLIENT;25.11.012;N/A;VM IQS CO;16/01/2025 08:33:25;Consultation Grand Livre et Virements;30409;1;Virement 100 Mouvements;4836;1737013054664;1737013059500;1
160120250839121Virement 900 Mouvements;ISACOMPTA-CLIENT;25.11.012;N/A;VM IQS CO;16/01/2025 08:33:25;Consultation Grand Livre et Virements;30409;1;Virement 900 Mouvements;37012;1737013115226;1737013152238;1
160120250841301Ouverture compte 2011;ISACOMPTA-CLIENT;25.11.012;N/A;VM IQS CO;16/01/2025 08:33:25;Consultation Grand Livre et Virements;30409;1;Ouverture compte 2011;2156;1737013287848;1737013290004;1
160120250841361Ouverture compte 511;ISACOMPTA-CLIENT;25.11.012;N/A;VM IQS CO;16/01/2025 08:33:25;Consultation Grand Livre et Virements;30409;1;Ouverture compte 511;2165;1737013294094;1737013296259;1
160120250844292Virement 1 mouvement;ISACOMPTA-CLIENT;25.11.012;N/A;VM IQS CO;16/01/2025 08:33:25;Consultation Grand Livre et Virements;30409;2;Virement 1 mouvement;144;1737013469731;1737013469875;1
160120250844472Virement 100 Mouvements;ISACOMPTA-CLIENT;25.11.012;N/A;VM IQS CO;16/01/2025 08:33:25;Consultation Grand Livre et Virements;30409;2;Virement 100 Mouvements;1870;1737013486129;1737013487999;1
160120250846022Virement 900 Mouvements;ISACOMPTA-CLIENT;25.11.012;N/A;VM IQS CO;16/01/2025 08:33:25;Consultation Grand Livre et Virements;30409;2;Virement 900 Mouvements;21035;1737013541705;1737013562740;1
160120250848172Ouverture compte 2011;ISACOMPTA-CLIENT;25.11.012;N/A;VM IQS CO;16/01/2025 08:33:25;Consultation Grand Livre et Virements;30409;2;Ouverture compte 2011;2161;1737013695762;1737013697923;1
160120250848242Ouverture compte 511;ISACOMPTA-CLIENT;25.11.012;N/A;VM IQS CO;16/01/2025 08:33:25;Consultation Grand Livre et Virements;30409;2;Ouverture compte 511;2177;1737013702031;1737013704208;1
160120250851213Virement 1 mouvement;ISACOMPTA-CLIENT;25.11.012;N/A;VM IQS CO;16/01/2025 08:33:25;Consultation Grand Livre et Virements;30409;3;Virement 1 mouvement;141;1737013881278;1737013881419;1
160120250851393Virement 100 Mouvements;ISACOMPTA-CLIENT;25.11.012;N/A;VM IQS CO;16/01/2025 08:33:25;Consultation Grand Livre et Virements;30409;3;Virement 100 Mouvements;1880;1737013897670;1737013899550;1
160120250852543Virement 900 Mouvements;ISACOMPTA-CLIENT;25.11.012;N/A;VM IQS CO;16/01/2025 08:33:25;Consultation Grand Livre et Virements;30409;3;Virement 900 Mouvements;20324;1737013954262;1737013974586;1
160120250855113Ouverture compte 2011;ISACOMPTA-CLIENT;25.11.012;N/A;VM IQS CO;16/01/2025 08:33:25;Consultation Grand Livre et Virements;30409;3;Ouverture compte 2011;2190;1737014109696;1737014111886;1
160120250855183Ouverture compte 511;ISACOMPTA-CLIENT;25.11.012;N/A;VM IQS CO;16/01/2025 08:33:25;Consultation Grand Livre et Virements;30409;3;Ouverture compte 511;2168;1737014115978;1737014118146;1
160120250858084Virement 1 mouvement;ISACOMPTA-CLIENT;25.11.012;N/A;VM IQS CO;16/01/2025 08:33:25;Consultation Grand Livre et Virements;30409;4;Virement 1 mouvement;157;1737014288604;1737014288761;1
160120250858264Virement 100 Mouvements;ISACOMPTA-CLIENT;25.11.012;N/A;VM IQS CO;16/01/2025 08:33:25;Consultation Grand Livre et Virements;30409;4;Virement 100 Mouvements;1848;1737014305014;1737014306862;1
160120250859424Virement 900 Mouvements;ISACOMPTA-CLIENT;25.11.012;N/A;VM IQS CO;16/01/2025 08:33:25;Consultation Grand Livre et Virements;30409;4;Virement 900 Mouvements;20080;1737014362254;1737014382334;1
160120250901584Ouverture compte 2011;ISACOMPTA-CLIENT;25.11.012;N/A;VM IQS CO;16/01/2025 08:33:25;Consultation Grand Livre et Virements;30409;4;Ouverture compte 2011;2153;1737014516533;1737014518686;1
160120250902044Ouverture compte 511;ISACOMPTA-CLIENT;25.11.012;N/A;VM IQS CO;16/01/2025 08:33:25;Consultation Grand Livre et Virements;30409;4;Ouverture compte 511;2179;1737014522777;1737014524956;1
160120250904585Virement 1 mouvement;ISACOMPTA-CLIENT;25.11.012;N/A;VM IQS CO;16/01/2025 08:33:25;Consultation Grand Livre et Virements;30409;5;Virement 1 mouvement;142;1737014698200;1737014698342;1
160120250905165Virement 100 Mouvements;ISACOMPTA-CLIENT;25.11.012;N/A;VM IQS CO;16/01/2025 08:33:25;Consultation Grand Livre et Virements;30409;5;Virement 100 Mouvements;1850;1737014714606;1737014716456;1
160120250906325Virement 900 Mouvements;ISACOMPTA-CLIENT;25.11.012;N/A;VM IQS CO;16/01/2025 08:33:25;Consultation Grand Livre et Virements;30409;5;Virement 900 Mouvements;20639;1737014772023;1737014792662;1
160120250908495Ouverture compte 2011;ISACOMPTA-CLIENT;25.11.012;N/A;VM IQS CO;16/01/2025 08:33:25;Consultation Grand Livre et Virements;30409;5;Ouverture compte 2011;2169;1737014927169;1737014929338;1
160120250908555Ouverture compte 511;ISACOMPTA-CLIENT;25.11.012;N/A;VM IQS CO;16/01/2025 08:33:25;Consultation Grand Livre et Virements;30409;5;Ouverture compte 511;2154;1737014933430;1737014935584;1
