ID;Application;Version;ParamID;id Machine;Date de lancement;Scenario;Num dossier;Num Iteration;Etape;Temps;TopTemps;EndTime;AGarder?
070120251005081Virement 1 mouvement;ISACOMPTA-CLIENT;25.10.005;N/A;VM IQS CO;07/01/2025 10:03:06;Consultation Grand Livre et Virements;30409;1;Virement 1 mouvement;1495;1736240706956;1736240708451;1
070120251005311Virement 100 Mouvements;ISACOMPTA-CLIENT;25.10.005;N/A;VM IQS CO;07/01/2025 10:03:06;Consultation Grand Livre et Virements;30409;1;Virement 100 Mouvements;4958;1736240726089;1736240731047;1
070120251007021Virement 900 Mouvements;ISACOMPTA-CLIENT;25.10.005;N/A;VM IQS CO;07/01/2025 10:03:06;Consultation Grand Livre et Virements;30409;1;Virement 900 Mouvements;37675;1736240784610;1736240822285;1
070120251009161Ouverture compte 2011;ISACOMPTA-CLIENT;25.10.005;N/A;VM IQS CO;07/01/2025 10:03:06;Consultation Grand Livre et Virements;30409;1;Ouverture compte 2011;2153;1736240954777;1736240956930;1
070120251009231Ouverture compte 511;ISACOMPTA-CLIENT;25.10.005;N/A;VM IQS CO;07/01/2025 10:03:06;Consultation Grand Livre et Virements;30409;1;Ouverture compte 511;2156;1736240961041;1736240963197;1
070120251012162Virement 1 mouvement;ISACOMPTA-CLIENT;25.10.005;N/A;VM IQS CO;07/01/2025 10:03:06;Consultation Grand Livre et Virements;30409;2;Virement 1 mouvement;142;1736241136170;1736241136312;1
070120251012342Virement 100 Mouvements;ISACOMPTA-CLIENT;25.10.005;N/A;VM IQS CO;07/01/2025 10:03:06;Consultation Grand Livre et Virements;30409;2;Virement 100 Mouvements;2197;1736241152514;1736241154711;1
070120251013492Virement 900 Mouvements;ISACOMPTA-CLIENT;25.10.005;N/A;VM IQS CO;07/01/2025 10:03:06;Consultation Grand Livre et Virements;30409;2;Virement 900 Mouvements;20953;1736241208621;1736241229574;1
070120251016052Ouverture compte 2011;ISACOMPTA-CLIENT;25.10.005;N/A;VM IQS CO;07/01/2025 10:03:06;Consultation Grand Livre et Virements;30409;2;Ouverture compte 2011;2166;1736241363592;1736241365758;1
070120251016122Ouverture compte 511;ISACOMPTA-CLIENT;25.10.005;N/A;VM IQS CO;07/01/2025 10:03:06;Consultation Grand Livre et Virements;30409;2;Ouverture compte 511;2167;1736241369851;1736241372018;1
070120251019053Virement 1 mouvement;ISACOMPTA-CLIENT;25.10.005;N/A;VM IQS CO;07/01/2025 10:03:06;Consultation Grand Livre et Virements;30409;3;Virement 1 mouvement;142;1736241545198;1736241545340;1
070120251019233Virement 100 Mouvements;ISACOMPTA-CLIENT;25.10.005;N/A;VM IQS CO;07/01/2025 10:03:06;Consultation Grand Livre et Virements;30409;3;Virement 100 Mouvements;1855;1736241561572;1736241563427;1
070120251020393Virement 900 Mouvements;ISACOMPTA-CLIENT;25.10.005;N/A;VM IQS CO;07/01/2025 10:03:06;Consultation Grand Livre et Virements;30409;3;Virement 900 Mouvements;20914;1736241618923;1736241639837;1
070120251022573Ouverture compte 2011;ISACOMPTA-CLIENT;25.10.005;N/A;VM IQS CO;07/01/2025 10:03:06;Consultation Grand Livre et Virements;30409;3;Ouverture compte 2011;2153;1736241774942;1736241777095;1
070120251023033Ouverture compte 511;ISACOMPTA-CLIENT;25.10.005;N/A;VM IQS CO;07/01/2025 10:03:06;Consultation Grand Livre et Virements;30409;3;Ouverture compte 511;2162;1736241781184;1736241783346;1
070120251025544Virement 1 mouvement;ISACOMPTA-CLIENT;25.10.005;N/A;VM IQS CO;07/01/2025 10:03:06;Consultation Grand Livre et Virements;30409;4;Virement 1 mouvement;157;1736241954800;1736241954957;1
070120251026144Virement 100 Mouvements;ISACOMPTA-CLIENT;25.10.005;N/A;VM IQS CO;07/01/2025 10:03:06;Consultation Grand Livre et Virements;30409;4;Virement 100 Mouvements;2222;1736241971877;1736241974099;1
070120251027304Virement 900 Mouvements;ISACOMPTA-CLIENT;25.10.005;N/A;VM IQS CO;07/01/2025 10:03:06;Consultation Grand Livre et Virements;30409;4;Virement 900 Mouvements;21257;1736242029305;1736242050562;1
070120251029464Ouverture compte 2011;ISACOMPTA-CLIENT;25.10.005;N/A;VM IQS CO;07/01/2025 10:03:06;Consultation Grand Livre et Virements;30409;4;Ouverture compte 2011;2491;1736242183528;1736242186019;1
070120251029524Ouverture compte 511;ISACOMPTA-CLIENT;25.10.005;N/A;VM IQS CO;07/01/2025 10:03:06;Consultation Grand Livre et Virements;30409;4;Ouverture compte 511;2159;1736242190142;1736242192301;1
070120251032455Virement 1 mouvement;ISACOMPTA-CLIENT;25.10.005;N/A;VM IQS CO;07/01/2025 10:03:06;Consultation Grand Livre et Virements;30409;5;Virement 1 mouvement;142;1736242365787;1736242365929;1
070120251033045Virement 100 Mouvements;ISACOMPTA-CLIENT;25.10.005;N/A;VM IQS CO;07/01/2025 10:03:06;Consultation Grand Livre et Virements;30409;5;Virement 100 Mouvements;2188;1736242382508;1736242384696;1
070120251034195Virement 900 Mouvements;ISACOMPTA-CLIENT;25.10.005;N/A;VM IQS CO;07/01/2025 10:03:06;Consultation Grand Livre et Virements;30409;5;Virement 900 Mouvements;20593;1736242439337;1736242459930;1
070120251036345Ouverture compte 2011;ISACOMPTA-CLIENT;25.10.005;N/A;VM IQS CO;07/01/2025 10:03:06;Consultation Grand Livre et Virements;30409;5;Ouverture compte 2011;2181;1736242592736;1736242594917;1
070120251036415Ouverture compte 511;ISACOMPTA-CLIENT;25.10.005;N/A;VM IQS CO;07/01/2025 10:03:06;Consultation Grand Livre et Virements;30409;5;Ouverture compte 511;2159;1736242599007;1736242601166;1
