ID;Application;Version;ParamID;id Machine;Date de lancement;Scenario;Num dossier;Num Iteration;Etape;Temps;TopTemps;EndTime;AGarder?
100220250834061Virement 1 mouvement;ISACOMPTA-CLIENT;25.11.038;N/A;VM IQS CO;10/02/2025 08:30:16;Consultation Grand Livre et Virements;30409;1;Virement 1 mouvement;1153;1739172845003;1739172846156;1
100220250834291Virement 100 Mouvements;ISACOMPTA-CLIENT;25.11.038;N/A;VM IQS CO;10/02/2025 08:30:16;Consultation Grand Livre et Virements;30409;1;Virement 100 Mouvements;6523;1739172862792;1739172869315;1
100220250836001Virement 900 Mouvements;ISACOMPTA-CLIENT;25.11.038;N/A;VM IQS CO;10/02/2025 08:30:16;Consultation Grand Livre et Virements;30409;1;Virement 900 Mouvements;36341;1739172924503;1739172960844;1
100220250838191Ouverture compte 2011;ISACOMPTA-CLIENT;25.11.038;N/A;VM IQS CO;10/02/2025 08:30:16;Consultation Grand Livre et Virements;30409;1;Ouverture compte 2011;2200;1739173097027;1739173099227;1
100220250838251Ouverture compte 511;ISACOMPTA-CLIENT;25.11.038;N/A;VM IQS CO;10/02/2025 08:30:16;Consultation Grand Livre et Virements;30409;1;Ouverture compte 511;2246;1739173103315;1739173105561;1
100220250841242Virement 1 mouvement;ISACOMPTA-CLIENT;25.11.038;N/A;VM IQS CO;10/02/2025 08:30:16;Consultation Grand Livre et Virements;30409;2;Virement 1 mouvement;203;1739173284216;1739173284419;1
100220250841422Virement 100 Mouvements;ISACOMPTA-CLIENT;25.11.038;N/A;VM IQS CO;10/02/2025 08:30:16;Consultation Grand Livre et Virements;30409;2;Virement 100 Mouvements;2150;1739173300701;1739173302851;1
100220250842582Virement 900 Mouvements;ISACOMPTA-CLIENT;25.11.038;N/A;VM IQS CO;10/02/2025 08:30:16;Consultation Grand Livre et Virements;30409;2;Virement 900 Mouvements;21941;1739173356347;1739173378288;1
100220250845152Ouverture compte 2011;ISACOMPTA-CLIENT;25.11.038;N/A;VM IQS CO;10/02/2025 08:30:16;Consultation Grand Livre et Virements;30409;2;Ouverture compte 2011;2167;1739173513053;1739173515220;1
100220250845212Ouverture compte 511;ISACOMPTA-CLIENT;25.11.038;N/A;VM IQS CO;10/02/2025 08:30:16;Consultation Grand Livre et Virements;30409;2;Ouverture compte 511;2149;1739173519345;1739173521494;1
100220250848173Virement 1 mouvement;ISACOMPTA-CLIENT;25.11.038;N/A;VM IQS CO;10/02/2025 08:30:16;Consultation Grand Livre et Virements;30409;3;Virement 1 mouvement;157;1739173697406;1739173697563;1
100220250848363Virement 100 Mouvements;ISACOMPTA-CLIENT;25.11.038;N/A;VM IQS CO;10/02/2025 08:30:16;Consultation Grand Livre et Virements;30409;3;Virement 100 Mouvements;2152;1739173713973;1739173716125;1
100220250849513Virement 900 Mouvements;ISACOMPTA-CLIENT;25.11.038;N/A;VM IQS CO;10/02/2025 08:30:16;Consultation Grand Livre et Virements;30409;3;Virement 900 Mouvements;21248;1739173770285;1739173791533;1
100220250852073Ouverture compte 2011;ISACOMPTA-CLIENT;25.11.038;N/A;VM IQS CO;10/02/2025 08:30:16;Consultation Grand Livre et Virements;30409;3;Ouverture compte 2011;2149;1739173925050;1739173927199;1
100220250852133Ouverture compte 511;ISACOMPTA-CLIENT;25.11.038;N/A;VM IQS CO;10/02/2025 08:30:16;Consultation Grand Livre et Virements;30409;3;Ouverture compte 511;2161;1739173931308;1739173933469;1
