ID;Application;Version;ParamID;id Machine;Date de lancement;Scenario;Num dossier;Num Iteration;Etape;Temps;TopTemps;EndTime;AGarder?
191220241024471Virement 1 mouvement;ISACOMPTA-CLIENT;25.01.076;N/A;VM IQS CO;19/12/2024 10:21:18;Consultation Grand Livre et Virements;30409;1;Virement 1 mouvement;1173;1734600286024;1734600287197;1
191220241025111Virement 100 Mouvements;ISACOMPTA-CLIENT;25.01.076;N/A;VM IQS CO;19/12/2024 10:21:18;Consultation Grand Livre et Virements;30409;1;Virement 100 Mouvements;5198;1734600306302;1734600311500;1
191220241026431Virement 900 Mouvements;ISACOMPTA-CLIENT;25.01.076;N/A;VM IQS CO;19/12/2024 10:21:18;Consultation Grand Livre et Virements;30409;1;Virement 900 Mouvements;36319;1734600367167;1734600403486;1
191220241028591Ouverture compte 2011;ISACOMPTA-CLIENT;25.01.076;N/A;VM IQS CO;19/12/2024 10:21:18;Consultation Grand Livre et Virements;30409;1;Ouverture compte 2011;2907;1734600536919;1734600539826;1
191220241029071Ouverture compte 511;ISACOMPTA-CLIENT;25.01.076;N/A;VM IQS CO;19/12/2024 10:21:18;Consultation Grand Livre et Virements;30409;1;Ouverture compte 511;3175;1734600543906;1734600547081;1
191220241031592Virement 1 mouvement;ISACOMPTA-CLIENT;25.01.076;N/A;VM IQS CO;19/12/2024 10:21:18;Consultation Grand Livre et Virements;30409;2;Virement 1 mouvement;142;1734600719802;1734600719944;1
191220241032212Virement 100 Mouvements;ISACOMPTA-CLIENT;25.01.076;N/A;VM IQS CO;19/12/2024 10:21:18;Consultation Grand Livre et Virements;30409;2;Virement 100 Mouvements;2155;1734600739047;1734600741202;1
191220241033392Virement 900 Mouvements;ISACOMPTA-CLIENT;25.01.076;N/A;VM IQS CO;19/12/2024 10:21:18;Consultation Grand Livre et Virements;30409;2;Virement 900 Mouvements;20576;1734600798516;1734600819092;1
191220241035552Ouverture compte 2011;ISACOMPTA-CLIENT;25.01.076;N/A;VM IQS CO;19/12/2024 10:21:18;Consultation Grand Livre et Virements;30409;2;Ouverture compte 2011;2828;1734600952521;1734600955349;1
191220241036022Ouverture compte 511;ISACOMPTA-CLIENT;25.01.076;N/A;VM IQS CO;19/12/2024 10:21:18;Consultation Grand Livre et Virements;30409;2;Ouverture compte 511;3159;1734600959458;1734600962617;1
191220241038573Virement 1 mouvement;ISACOMPTA-CLIENT;25.01.076;N/A;VM IQS CO;19/12/2024 10:21:18;Consultation Grand Livre et Virements;30409;3;Virement 1 mouvement;141;1734601137293;1734601137434;1
191220241039173Virement 100 Mouvements;ISACOMPTA-CLIENT;25.01.076;N/A;VM IQS CO;19/12/2024 10:21:18;Consultation Grand Livre et Virements;30409;3;Virement 100 Mouvements;2194;1734601155791;1734601157985;1
191220241040353Virement 900 Mouvements;ISACOMPTA-CLIENT;25.01.076;N/A;VM IQS CO;19/12/2024 10:21:18;Consultation Grand Livre et Virements;30409;3;Virement 900 Mouvements;20928;1734601214262;1734601235190;1
191220241042503Ouverture compte 2011;ISACOMPTA-CLIENT;25.01.076;N/A;VM IQS CO;19/12/2024 10:21:18;Consultation Grand Livre et Virements;30409;3;Ouverture compte 2011;2488;1734601368437;1734601370925;1
191220241042583Ouverture compte 511;ISACOMPTA-CLIENT;25.01.076;N/A;VM IQS CO;19/12/2024 10:21:18;Consultation Grand Livre et Virements;30409;3;Ouverture compte 511;3165;1734601375052;1734601378217;1
191220241045474Virement 1 mouvement;ISACOMPTA-CLIENT;25.01.076;N/A;VM IQS CO;19/12/2024 10:21:18;Consultation Grand Livre et Virements;30409;4;Virement 1 mouvement;142;1734601547671;1734601547813;1
191220241046084Virement 100 Mouvements;ISACOMPTA-CLIENT;25.01.076;N/A;VM IQS CO;19/12/2024 10:21:18;Consultation Grand Livre et Virements;30409;4;Virement 100 Mouvements;2175;1734601566156;1734601568331;1
191220241047244Virement 900 Mouvements;ISACOMPTA-CLIENT;25.01.076;N/A;VM IQS CO;19/12/2024 10:21:18;Consultation Grand Livre et Virements;30409;4;Virement 900 Mouvements;20049;1734601624536;1734601644585;1
191220241049404Ouverture compte 2011;ISACOMPTA-CLIENT;25.01.076;N/A;VM IQS CO;19/12/2024 10:21:18;Consultation Grand Livre et Virements;30409;4;Ouverture compte 2011;2826;1734601777778;1734601780604;1
191220241049474Ouverture compte 511;ISACOMPTA-CLIENT;25.01.076;N/A;VM IQS CO;19/12/2024 10:21:18;Consultation Grand Livre et Virements;30409;4;Ouverture compte 511;3167;1734601784708;1734601787875;1
191220241052365Virement 1 mouvement;ISACOMPTA-CLIENT;25.01.076;N/A;VM IQS CO;19/12/2024 10:21:18;Consultation Grand Livre et Virements;30409;5;Virement 1 mouvement;142;1734601956516;1734601956658;1
191220241052575Virement 100 Mouvements;ISACOMPTA-CLIENT;25.01.076;N/A;VM IQS CO;19/12/2024 10:21:18;Consultation Grand Livre et Virements;30409;5;Virement 100 Mouvements;2209;1734601975344;1734601977553;1
191220241054145Virement 900 Mouvements;ISACOMPTA-CLIENT;25.01.076;N/A;VM IQS CO;19/12/2024 10:21:18;Consultation Grand Livre et Virements;30409;5;Virement 900 Mouvements;20039;1734602034417;1734602054456;1
191220241056325Ouverture compte 2011;ISACOMPTA-CLIENT;25.01.076;N/A;VM IQS CO;19/12/2024 10:21:18;Consultation Grand Livre et Virements;30409;5;Ouverture compte 2011;2841;1734602189299;1734602192140;1
191220241056395Ouverture compte 511;ISACOMPTA-CLIENT;25.01.076;N/A;VM IQS CO;19/12/2024 10:21:18;Consultation Grand Livre et Virements;30409;5;Ouverture compte 511;3502;1734602196243;1734602199745;1
