ID;Application;Version;ParamID;id Machine;Date de lancement;Scenario;Num dossier;Num Iteration;Etape;Temps;TopTemps;EndTime;AGarder?
171220241336111Virement 1 mouvement;ISACOMPTA-CLIENT;25.01.075;N/A;VM IQS CO;17/12/2024 13:34:26;Consultation Grand Livre et Virements;30409;1;Virement 1 mouvement;141;1734438970872;1734438971013;1
171220241336311Virement 100 Mouvements;ISACOMPTA-CLIENT;25.01.075;N/A;VM IQS CO;17/12/2024 13:34:26;Consultation Grand Livre et Virements;30409;1;Virement 100 Mouvements;2168;1734438989767;1734438991935;1
171220241337511Virement 900 Mouvements;ISACOMPTA-CLIENT;25.01.075;N/A;VM IQS CO;17/12/2024 13:34:26;Consultation Grand Livre et Virements;30409;1;Virement 900 Mouvements;22039;1734439049620;1734439071659;1
171220241340031Ouverture compte 2011;ISACOMPTA-CLIENT;25.01.075;N/A;VM IQS CO;17/12/2024 13:34:26;Consultation Grand Livre et Virements;30409;1;Ouverture compte 2011;2835;1734439200790;1734439203625;1
171220241340111Ouverture compte 511;ISACOMPTA-CLIENT;25.01.075;N/A;VM IQS CO;17/12/2024 13:34:26;Consultation Grand Livre et Virements;30409;1;Ouverture compte 511;3501;1734439207717;1734439211218;1
171220241343022Virement 1 mouvement;ISACOMPTA-CLIENT;25.01.075;N/A;VM IQS CO;17/12/2024 13:34:26;Consultation Grand Livre et Virements;30409;2;Virement 1 mouvement;141;1734439382092;1734439382233;1
171220241343232Virement 100 Mouvements;ISACOMPTA-CLIENT;25.01.075;N/A;VM IQS CO;17/12/2024 13:34:26;Consultation Grand Livre et Virements;30409;2;Virement 100 Mouvements;2486;1734439400949;1734439403435;1
171220241344382Virement 900 Mouvements;ISACOMPTA-CLIENT;25.01.075;N/A;VM IQS CO;17/12/2024 13:34:26;Consultation Grand Livre et Virements;30409;2;Virement 900 Mouvements;20346;1734439458392;1734439478738;1
171220241346492Ouverture compte 2011;ISACOMPTA-CLIENT;25.01.075;N/A;VM IQS CO;17/12/2024 13:34:26;Consultation Grand Livre et Virements;30409;2;Ouverture compte 2011;2823;1734439606818;1734439609641;1
171220241346562Ouverture compte 511;ISACOMPTA-CLIENT;25.01.075;N/A;VM IQS CO;17/12/2024 13:34:26;Consultation Grand Livre et Virements;30409;2;Ouverture compte 511;3194;1734439613755;1734439616949;1
171220241349503Virement 1 mouvement;ISACOMPTA-CLIENT;25.01.075;N/A;VM IQS CO;17/12/2024 13:34:26;Consultation Grand Livre et Virements;30409;3;Virement 1 mouvement;142;1734439790803;1734439790945;1
171220241350113Virement 100 Mouvements;ISACOMPTA-CLIENT;25.01.075;N/A;VM IQS CO;17/12/2024 13:34:26;Consultation Grand Livre et Virements;30409;3;Virement 100 Mouvements;1862;1734439809190;1734439811052;1
171220241351283Virement 900 Mouvements;ISACOMPTA-CLIENT;25.01.075;N/A;VM IQS CO;17/12/2024 13:34:26;Consultation Grand Livre et Virements;30409;3;Virement 900 Mouvements;20937;1734439867163;1734439888100;1
171220241353383Ouverture compte 2011;ISACOMPTA-CLIENT;25.01.075;N/A;VM IQS CO;17/12/2024 13:34:26;Consultation Grand Livre et Virements;30409;3;Ouverture compte 2011;2537;1734440015577;1734440018114;1
171220241353453Ouverture compte 511;ISACOMPTA-CLIENT;25.01.075;N/A;VM IQS CO;17/12/2024 13:34:26;Consultation Grand Livre et Virements;30409;3;Ouverture compte 511;3188;1734440022199;1734440025387;1
171220241356344Virement 1 mouvement;ISACOMPTA-CLIENT;25.01.075;N/A;VM IQS CO;17/12/2024 13:34:26;Consultation Grand Livre et Virements;30409;4;Virement 1 mouvement;141;1734440194292;1734440194433;1
171220241356544Virement 100 Mouvements;ISACOMPTA-CLIENT;25.01.075;N/A;VM IQS CO;17/12/2024 13:34:26;Consultation Grand Livre et Virements;30409;4;Virement 100 Mouvements;1849;1734440213037;1734440214886;1
171220241358124Virement 900 Mouvements;ISACOMPTA-CLIENT;25.01.075;N/A;VM IQS CO;17/12/2024 13:34:26;Consultation Grand Livre et Virements;30409;4;Virement 900 Mouvements;20701;1734440271469;1734440292170;1
171220241400244Ouverture compte 2011;ISACOMPTA-CLIENT;25.01.075;N/A;VM IQS CO;17/12/2024 13:34:26;Consultation Grand Livre et Virements;30409;4;Ouverture compte 2011;2837;1734440421622;1734440424459;1
171220241400314Ouverture compte 511;ISACOMPTA-CLIENT;25.01.075;N/A;VM IQS CO;17/12/2024 13:34:26;Consultation Grand Livre et Virements;30409;4;Ouverture compte 511;3170;1734440428577;1734440431747;1
