ID;Application;Version;ParamID;id Machine;Date de lancement;Scenario;Num dossier;Num Iteration;Etape;Temps;TopTemps;EndTime;AGarder?
291120241509031Virement 1 mouvement;ISACOMPTA-CLIENT;17.10.009 Patch 801077GI.801075CO;N/A;VM IQS CO;29/11/2024 15:07:29;Consultation Grand Livre et Virements;30409;1;Virement 1 mouvement;830;1732889342954;1732889343784;1
291120241509251Virement 100 Mouvements;ISACOMPTA-CLIENT;17.10.009 Patch 801077GI.801075CO;N/A;VM IQS CO;29/11/2024 15:07:29;Consultation Grand Livre et Virements;30409;1;Virement 100 Mouvements;6315;1732889358687;1732889365002;1
291120241510101Virement 900 Mouvements;ISACOMPTA-CLIENT;17.10.009 Patch 801077GI.801075CO;N/A;VM IQS CO;29/11/2024 15:07:29;Consultation Grand Livre et Virements;30409;1;Virement 900 Mouvements;30094;1732889380774;1732889410868;1
291120241511341Ouverture compte 2011;ISACOMPTA-CLIENT;17.10.009 Patch 801077GI.801075CO;N/A;VM IQS CO;29/11/2024 15:07:29;Consultation Grand Livre et Virements;30409;1;Ouverture compte 2011;1822;1732889492662;1732889494484;1
291120241511401Ouverture compte 511;ISACOMPTA-CLIENT;17.10.009 Patch 801077GI.801075CO;N/A;VM IQS CO;29/11/2024 15:07:29;Consultation Grand Livre et Virements;30409;1;Ouverture compte 511;1821;1732889498583;1732889500404;1
291120241514222Virement 1 mouvement;ISACOMPTA-CLIENT;17.10.009 Patch 801077GI.801075CO;N/A;VM IQS CO;29/11/2024 15:07:29;Consultation Grand Livre et Virements;30409;2;Virement 1 mouvement;141;1732889662725;1732889662866;1
291120241514392Virement 100 Mouvements;ISACOMPTA-CLIENT;17.10.009 Patch 801077GI.801075CO;N/A;VM IQS CO;29/11/2024 15:07:29;Consultation Grand Livre et Virements;30409;2;Virement 100 Mouvements;2155;1732889677777;1732889679932;1
291120241515162Virement 900 Mouvements;ISACOMPTA-CLIENT;17.10.009 Patch 801077GI.801075CO;N/A;VM IQS CO;29/11/2024 15:07:29;Consultation Grand Livre et Virements;30409;2;Virement 900 Mouvements;21074;1732889695780;1732889716854;1
291120241516402Ouverture compte 2011;ISACOMPTA-CLIENT;17.10.009 Patch 801077GI.801075CO;N/A;VM IQS CO;29/11/2024 15:07:29;Consultation Grand Livre et Virements;30409;2;Ouverture compte 2011;1815;1732889798517;1732889800332;1
291120241516452Ouverture compte 511;ISACOMPTA-CLIENT;17.10.009 Patch 801077GI.801075CO;N/A;VM IQS CO;29/11/2024 15:07:29;Consultation Grand Livre et Virements;30409;2;Ouverture compte 511;1528;1732889804455;1732889805983;1
291120241519273Virement 1 mouvement;ISACOMPTA-CLIENT;17.10.009 Patch 801077GI.801075CO;N/A;VM IQS CO;29/11/2024 15:07:29;Consultation Grand Livre et Virements;30409;3;Virement 1 mouvement;144;1732889967326;1732889967470;1
291120241519443Virement 100 Mouvements;ISACOMPTA-CLIENT;17.10.009 Patch 801077GI.801075CO;N/A;VM IQS CO;29/11/2024 15:07:29;Consultation Grand Livre et Virements;30409;3;Virement 100 Mouvements;2166;1732889982345;1732889984511;1
291120241520213Virement 900 Mouvements;ISACOMPTA-CLIENT;17.10.009 Patch 801077GI.801075CO;N/A;VM IQS CO;29/11/2024 15:07:29;Consultation Grand Livre et Virements;30409;3;Virement 900 Mouvements;20588;1732890000626;1732890021214;1
291120241521453Ouverture compte 2011;ISACOMPTA-CLIENT;17.10.009 Patch 801077GI.801075CO;N/A;VM IQS CO;29/11/2024 15:07:29;Consultation Grand Livre et Virements;30409;3;Ouverture compte 2011;1816;1732890103818;1732890105634;1
291120241521513Ouverture compte 511;ISACOMPTA-CLIENT;17.10.009 Patch 801077GI.801075CO;N/A;VM IQS CO;29/11/2024 15:07:29;Consultation Grand Livre et Virements;30409;3;Ouverture compte 511;1821;1732890109747;1732890111568;1
291120241524304Virement 1 mouvement;ISACOMPTA-CLIENT;17.10.009 Patch 801077GI.801075CO;N/A;VM IQS CO;29/11/2024 15:07:29;Consultation Grand Livre et Virements;30409;4;Virement 1 mouvement;141;1732890269983;1732890270124;1
291120241524474Virement 100 Mouvements;ISACOMPTA-CLIENT;17.10.009 Patch 801077GI.801075CO;N/A;VM IQS CO;29/11/2024 15:07:29;Consultation Grand Livre et Virements;30409;4;Virement 100 Mouvements;2186;1732890284993;1732890287179;1
291120241525234Virement 900 Mouvements;ISACOMPTA-CLIENT;17.10.009 Patch 801077GI.801075CO;N/A;VM IQS CO;29/11/2024 15:07:29;Consultation Grand Livre et Virements;30409;4;Virement 900 Mouvements;20626;1732890303045;1732890323671;1
291120241526484Ouverture compte 2011;ISACOMPTA-CLIENT;17.10.009 Patch 801077GI.801075CO;N/A;VM IQS CO;29/11/2024 15:07:29;Consultation Grand Livre et Virements;30409;4;Ouverture compte 2011;1817;1732890406310;1732890408127;1
291120241526544Ouverture compte 511;ISACOMPTA-CLIENT;17.10.009 Patch 801077GI.801075CO;N/A;VM IQS CO;29/11/2024 15:07:29;Consultation Grand Livre et Virements;30409;4;Ouverture compte 511;1818;1732890412228;1732890414046;1
291120241529325Virement 1 mouvement;ISACOMPTA-CLIENT;17.10.009 Patch 801077GI.801075CO;N/A;VM IQS CO;29/11/2024 15:07:29;Consultation Grand Livre et Virements;30409;5;Virement 1 mouvement;141;1732890571864;1732890572005;1
