ID;Application;Version;ParamID;id Machine;Date de lancement;Scenario;Num dossier;Num Iteration;Etape;Temps;TopTemps;EndTime;AGarder?
171220241248521Virement 1 mouvement;ISACOMPTA-CLIENT;25.01.075;N/A;VM IQS CO;17/12/2024 12:47:07;Consultation Grand Livre et Virements;30409;1;Virement 1 mouvement;142;1734436132535;1734436132677;1
171220241249131Virement 100 Mouvements;ISACOMPTA-CLIENT;25.01.075;N/A;VM IQS CO;17/12/2024 12:47:07;Consultation Grand Livre et Virements;30409;1;Virement 100 Mouvements;2164;1734436151299;1734436153463;1
171220241250321Virement 900 Mouvements;ISACOMPTA-CLIENT;25.01.075;N/A;VM IQS CO;17/12/2024 12:47:07;Consultation Grand Livre et Virements;30409;1;Virement 900 Mouvements;20909;1734436211139;1734436232048;1
171220241252431Ouverture compte 2011;ISACOMPTA-CLIENT;25.01.075;N/A;VM IQS CO;17/12/2024 12:47:07;Consultation Grand Livre et Virements;30409;1;Ouverture compte 2011;2514;1734436361478;1734436363992;1
171220241252511Ouverture compte 511;ISACOMPTA-CLIENT;25.01.075;N/A;VM IQS CO;17/12/2024 12:47:07;Consultation Grand Livre et Virements;30409;1;Ouverture compte 511;3158;1734436368095;1734436371253;1
171220241255422Virement 1 mouvement;ISACOMPTA-CLIENT;25.01.075;N/A;VM IQS CO;17/12/2024 12:47:07;Consultation Grand Livre et Virements;30409;2;Virement 1 mouvement;143;1734436542718;1734436542861;1
171220241256032Virement 100 Mouvements;ISACOMPTA-CLIENT;25.01.075;N/A;VM IQS CO;17/12/2024 12:47:07;Consultation Grand Livre et Virements;30409;2;Virement 100 Mouvements;2187;1734436561210;1734436563397;1
171220241257222Virement 900 Mouvements;ISACOMPTA-CLIENT;25.01.075;N/A;VM IQS CO;17/12/2024 12:47:07;Consultation Grand Livre et Virements;30409;2;Virement 900 Mouvements;20629;1734436621668;1734436642297;1
171220241259332Ouverture compte 2011;ISACOMPTA-CLIENT;25.01.075;N/A;VM IQS CO;17/12/2024 12:47:07;Consultation Grand Livre et Virements;30409;2;Ouverture compte 2011;2835;1734436771147;1734436773982;1
171220241259412Ouverture compte 511;ISACOMPTA-CLIENT;25.01.075;N/A;VM IQS CO;17/12/2024 12:47:07;Consultation Grand Livre et Virements;30409;2;Ouverture compte 511;3162;1734436778079;1734436781241;1
171220241302373Virement 1 mouvement;ISACOMPTA-CLIENT;25.01.075;N/A;VM IQS CO;17/12/2024 12:47:07;Consultation Grand Livre et Virements;30409;3;Virement 1 mouvement;142;1734436957642;1734436957784;1
171220241302573Virement 100 Mouvements;ISACOMPTA-CLIENT;25.01.075;N/A;VM IQS CO;17/12/2024 12:47:07;Consultation Grand Livre et Virements;30409;3;Virement 100 Mouvements;1898;1734436976085;1734436977983;1
171220241304153Virement 900 Mouvements;ISACOMPTA-CLIENT;25.01.075;N/A;VM IQS CO;17/12/2024 12:47:07;Consultation Grand Livre et Virements;30409;3;Virement 900 Mouvements;20942;1734437034718;1734437055660;1
171220241306283Ouverture compte 2011;ISACOMPTA-CLIENT;25.01.075;N/A;VM IQS CO;17/12/2024 12:47:07;Consultation Grand Livre et Virements;30409;3;Ouverture compte 2011;2533;1734437185981;1734437188514;1
171220241306353Ouverture compte 511;ISACOMPTA-CLIENT;25.01.075;N/A;VM IQS CO;17/12/2024 12:47:07;Consultation Grand Livre et Virements;30409;3;Ouverture compte 511;3156;1734437192605;1734437195761;1
171220241309264Virement 1 mouvement;ISACOMPTA-CLIENT;25.01.075;N/A;VM IQS CO;17/12/2024 12:47:07;Consultation Grand Livre et Virements;30409;4;Virement 1 mouvement;142;1734437366403;1734437366545;1
171220241309464Virement 100 Mouvements;ISACOMPTA-CLIENT;25.01.075;N/A;VM IQS CO;17/12/2024 12:47:07;Consultation Grand Livre et Virements;30409;4;Virement 100 Mouvements;1832;1734437384801;1734437386633;1
171220241311044Virement 900 Mouvements;ISACOMPTA-CLIENT;25.01.075;N/A;VM IQS CO;17/12/2024 12:47:07;Consultation Grand Livre et Virements;30409;4;Virement 900 Mouvements;20638;1734437444111;1734437464749;1
171220241313174Ouverture compte 2011;ISACOMPTA-CLIENT;25.01.075;N/A;VM IQS CO;17/12/2024 12:47:07;Consultation Grand Livre et Virements;30409;4;Ouverture compte 2011;2835;1734437594208;1734437597043;1
171220241313244Ouverture compte 511;ISACOMPTA-CLIENT;25.01.075;N/A;VM IQS CO;17/12/2024 12:47:07;Consultation Grand Livre et Virements;30409;4;Ouverture compte 511;2867;1734437601138;1734437604005;1
