ID;Application;Version;ParamID;id Machine;Date de lancement;Scenario;Num dossier;Num Iteration;Etape;Temps;TopTemps;EndTime;AGarder?
310120250914301Virement 1 mouvement;ISACOMPTA-CLIENT;25.11.029;N/A;VM IQS CO;31/01/2025 09:12:39;Consultation Grand Livre et Virements;30409;1;Virement 1 mouvement;142;1738311270525;1738311270667;1
310120250914481Virement 100 Mouvements;ISACOMPTA-CLIENT;25.11.029;N/A;VM IQS CO;31/01/2025 09:12:39;Consultation Grand Livre et Virements;30409;1;Virement 100 Mouvements;1874;1738311287044;1738311288918;1
310120250916041Virement 900 Mouvements;ISACOMPTA-CLIENT;25.11.029;N/A;VM IQS CO;31/01/2025 09:12:39;Consultation Grand Livre et Virements;30409;1;Virement 900 Mouvements;21217;1738311343721;1738311364938;1
310120250918231Ouverture compte 2011;ISACOMPTA-CLIENT;25.11.029;N/A;VM IQS CO;31/01/2025 09:12:39;Consultation Grand Livre et Virements;30409;1;Ouverture compte 2011;2168;1738311500960;1738311503128;1
310120250918291Ouverture compte 511;ISACOMPTA-CLIENT;25.11.029;N/A;VM IQS CO;31/01/2025 09:12:39;Consultation Grand Livre et Virements;30409;1;Ouverture compte 511;2163;1738311507220;1738311509383;1
310120250921222Virement 1 mouvement;ISACOMPTA-CLIENT;25.11.029;N/A;VM IQS CO;31/01/2025 09:12:39;Consultation Grand Livre et Virements;30409;2;Virement 1 mouvement;142;1738311682664;1738311682806;1
310120250921412Virement 100 Mouvements;ISACOMPTA-CLIENT;25.11.029;N/A;VM IQS CO;31/01/2025 09:12:39;Consultation Grand Livre et Virements;30409;2;Virement 100 Mouvements;2185;1738311699414;1738311701599;1
310120250922582Virement 900 Mouvements;ISACOMPTA-CLIENT;25.11.029;N/A;VM IQS CO;31/01/2025 09:12:39;Consultation Grand Livre et Virements;30409;2;Virement 900 Mouvements;21326;1738311757442;1738311778768;1
310120250925162Ouverture compte 2011;ISACOMPTA-CLIENT;25.11.029;N/A;VM IQS CO;31/01/2025 09:12:39;Consultation Grand Livre et Virements;30409;2;Ouverture compte 2011;2151;1738311914782;1738311916933;1
310120250925232Ouverture compte 511;ISACOMPTA-CLIENT;25.11.029;N/A;VM IQS CO;31/01/2025 09:12:39;Consultation Grand Livre et Virements;30409;2;Ouverture compte 511;2187;1738311921030;1738311923217;1
310120250928183Virement 1 mouvement;ISACOMPTA-CLIENT;25.11.029;N/A;VM IQS CO;31/01/2025 09:12:39;Consultation Grand Livre et Virements;30409;3;Virement 1 mouvement;142;1738312097940;1738312098082;1
310120250928373Virement 100 Mouvements;ISACOMPTA-CLIENT;25.11.029;N/A;VM IQS CO;31/01/2025 09:12:39;Consultation Grand Livre et Virements;30409;3;Virement 100 Mouvements;2164;1738312114989;1738312117153;1
310120250929533Virement 900 Mouvements;ISACOMPTA-CLIENT;25.11.029;N/A;VM IQS CO;31/01/2025 09:12:39;Consultation Grand Livre et Virements;30409;3;Virement 900 Mouvements;20985;1738312172407;1738312193392;1
310120250932123Ouverture compte 2011;ISACOMPTA-CLIENT;25.11.029;N/A;VM IQS CO;31/01/2025 09:12:39;Consultation Grand Livre et Virements;30409;3;Ouverture compte 2011;2488;1738312329626;1738312332114;1
310120250932183Ouverture compte 511;ISACOMPTA-CLIENT;25.11.029;N/A;VM IQS CO;31/01/2025 09:12:39;Consultation Grand Livre et Virements;30409;3;Ouverture compte 511;2155;1738312336210;1738312338365;1
310120250935184Virement 1 mouvement;ISACOMPTA-CLIENT;25.11.029;N/A;VM IQS CO;31/01/2025 09:12:39;Consultation Grand Livre et Virements;30409;4;Virement 1 mouvement;143;1738312517948;1738312518091;1
310120250935364Virement 100 Mouvements;ISACOMPTA-CLIENT;25.11.029;N/A;VM IQS CO;31/01/2025 09:12:39;Consultation Grand Livre et Virements;30409;4;Virement 100 Mouvements;2163;1738312534664;1738312536827;1
310120250936554Virement 900 Mouvements;ISACOMPTA-CLIENT;25.11.029;N/A;VM IQS CO;31/01/2025 09:12:39;Consultation Grand Livre et Virements;30409;4;Virement 900 Mouvements;22426;1738312592835;1738312615261;1
310120250939144Ouverture compte 2011;ISACOMPTA-CLIENT;25.11.029;N/A;VM IQS CO;31/01/2025 09:12:39;Consultation Grand Livre et Virements;30409;4;Ouverture compte 2011;2167;1738312752317;1738312754484;1
310120250939204Ouverture compte 511;ISACOMPTA-CLIENT;25.11.029;N/A;VM IQS CO;31/01/2025 09:12:39;Consultation Grand Livre et Virements;30409;4;Ouverture compte 511;2149;1738312758575;1738312760724;1
310120250942165Virement 1 mouvement;ISACOMPTA-CLIENT;25.11.029;N/A;VM IQS CO;31/01/2025 09:12:39;Consultation Grand Livre et Virements;30409;5;Virement 1 mouvement;142;1738312936196;1738312936338;1
310120250942345Virement 100 Mouvements;ISACOMPTA-CLIENT;25.11.029;N/A;VM IQS CO;31/01/2025 09:12:39;Consultation Grand Livre et Virements;30409;5;Virement 100 Mouvements;2164;1738312952636;1738312954800;1
310120250943515Virement 900 Mouvements;ISACOMPTA-CLIENT;25.11.029;N/A;VM IQS CO;31/01/2025 09:12:39;Consultation Grand Livre et Virements;30409;5;Virement 900 Mouvements;20927;1738313010456;1738313031383;1
310120250946105Ouverture compte 2011;ISACOMPTA-CLIENT;25.11.029;N/A;VM IQS CO;31/01/2025 09:12:39;Consultation Grand Livre et Virements;30409;5;Ouverture compte 2011;2183;1738313168087;1738313170270;1
310120250946165Ouverture compte 511;ISACOMPTA-CLIENT;25.11.029;N/A;VM IQS CO;31/01/2025 09:12:39;Consultation Grand Livre et Virements;30409;5;Ouverture compte 511;2165;1738313174360;1738313176525;1
