ID;Application;Version;ParamID;id Machine;Date de lancement;Scenario;Num dossier;Num Iteration;Etape;Temps;TopTemps;EndTime;AGarder?
051220241730061Virement 1 mouvement;ISACOMPTA-CLIENT;25.01.066;N/A;VM IQS CO;05/12/2024 17:28:21;Consultation Grand Livre et Virements;30409;1;Virement 1 mouvement;142;1733416206090;1733416206232;1
051220241730261Virement 100 Mouvements;ISACOMPTA-CLIENT;25.01.066;N/A;VM IQS CO;05/12/2024 17:28:21;Consultation Grand Livre et Virements;30409;1;Virement 100 Mouvements;2195;1733416224661;1733416226856;1
051220241731441Virement 900 Mouvements;ISACOMPTA-CLIENT;25.01.066;N/A;VM IQS CO;05/12/2024 17:28:21;Consultation Grand Livre et Virements;30409;1;Virement 900 Mouvements;21268;1733416282885;1733416304153;1
051220241733541Ouverture compte 2011;ISACOMPTA-CLIENT;25.01.066;N/A;VM IQS CO;05/12/2024 17:28:21;Consultation Grand Livre et Virements;30409;1;Ouverture compte 2011;2832;1733416431591;1733416434423;1
051220241734011Ouverture compte 511;ISACOMPTA-CLIENT;25.01.066;N/A;VM IQS CO;05/12/2024 17:28:21;Consultation Grand Livre et Virements;30409;1;Ouverture compte 511;3161;1733416438523;1733416441684;1
051220241737012Virement 1 mouvement;ISACOMPTA-CLIENT;25.01.066;N/A;VM IQS CO;05/12/2024 17:28:21;Consultation Grand Livre et Virements;30409;2;Virement 1 mouvement;143;1733416620894;1733416621037;1
051220241737212Virement 100 Mouvements;ISACOMPTA-CLIENT;25.01.066;N/A;VM IQS CO;05/12/2024 17:28:21;Consultation Grand Livre et Virements;30409;2;Virement 100 Mouvements;2168;1733416639333;1733416641501;1
051220241738362Virement 900 Mouvements;ISACOMPTA-CLIENT;25.01.066;N/A;VM IQS CO;05/12/2024 17:28:21;Consultation Grand Livre et Virements;30409;2;Virement 900 Mouvements;19938;1733416696973;1733416716911;1
051220241740472Ouverture compte 2011;ISACOMPTA-CLIENT;25.01.066;N/A;VM IQS CO;05/12/2024 17:28:21;Consultation Grand Livre et Virements;30409;2;Ouverture compte 2011;2500;1733416844678;1733416847178;1
051220241740542Ouverture compte 511;ISACOMPTA-CLIENT;25.01.066;N/A;VM IQS CO;05/12/2024 17:28:21;Consultation Grand Livre et Virements;30409;2;Ouverture compte 511;3158;1733416851275;1733416854433;1
051220241743443Virement 1 mouvement;ISACOMPTA-CLIENT;25.01.066;N/A;VM IQS CO;05/12/2024 17:28:21;Consultation Grand Livre et Virements;30409;3;Virement 1 mouvement;141;1733417024708;1733417024849;1
051220241744053Virement 100 Mouvements;ISACOMPTA-CLIENT;25.01.066;N/A;VM IQS CO;05/12/2024 17:28:21;Consultation Grand Livre et Virements;30409;3;Virement 100 Mouvements;1896;1733417043183;1733417045079;1
051220241745203Virement 900 Mouvements;ISACOMPTA-CLIENT;25.01.066;N/A;VM IQS CO;05/12/2024 17:28:21;Consultation Grand Livre et Virements;30409;3;Virement 900 Mouvements;19978;1733417100840;1733417120818;1
051220241747323Ouverture compte 2011;ISACOMPTA-CLIENT;25.01.066;N/A;VM IQS CO;05/12/2024 17:28:21;Consultation Grand Livre et Virements;30409;3;Ouverture compte 2011;2820;1733417249620;1733417252440;1
051220241747403Ouverture compte 511;ISACOMPTA-CLIENT;25.01.066;N/A;VM IQS CO;05/12/2024 17:28:21;Consultation Grand Livre et Virements;30409;3;Ouverture compte 511;3513;1733417256605;1733417260118;1
051220241750314Virement 1 mouvement;ISACOMPTA-CLIENT;25.01.066;N/A;VM IQS CO;05/12/2024 17:28:21;Consultation Grand Livre et Virements;30409;4;Virement 1 mouvement;142;1733417431556;1733417431698;1
051220241750514Virement 100 Mouvements;ISACOMPTA-CLIENT;25.01.066;N/A;VM IQS CO;05/12/2024 17:28:21;Consultation Grand Livre et Virements;30409;4;Virement 100 Mouvements;1833;1733417450022;1733417451855;1
051220241752074Virement 900 Mouvements;ISACOMPTA-CLIENT;25.01.066;N/A;VM IQS CO;05/12/2024 17:28:21;Consultation Grand Livre et Virements;30409;4;Virement 900 Mouvements;19980;1733417507606;1733417527586;1
051220241754174Ouverture compte 2011;ISACOMPTA-CLIENT;25.01.066;N/A;VM IQS CO;05/12/2024 17:28:21;Consultation Grand Livre et Virements;30409;4;Ouverture compte 2011;2828;1733417654799;1733417657627;1
051220241754254Ouverture compte 511;ISACOMPTA-CLIENT;25.01.066;N/A;VM IQS CO;05/12/2024 17:28:21;Consultation Grand Livre et Virements;30409;4;Ouverture compte 511;3207;1733417661806;1733417665013;1
